SHIP_NAME;INSPECTION_MONTH_YEAR;RISK_CLASSIFICATION;COMPLIANCE_INDEX;RISK_SCORE;SEASON
SEVEN SEAS NAVIGATOR;12/2018;A;100,00;0;Cruise Ship Inspection Program 2018/2019 -  December 2018
MSC OPERA;03/2011;B;93,29;225;Cruise Ship Inspection Program 2010/2011 - March 2011
AIDA CARA;11/2011;A;99,38;30;Cruise Ship Inspection Program 2011/2012 - November 2011
GRAND HOLIDAY;12/2010;D;82,83;565;Cruise Ship Inspection Program 2010/2011 - December 2010
SILVER SPIRIT;02/2012;B;93,88;248;Cruise Ship Inspection Program 2011/2012 - February 2012
BRAEMAR;02/2016;A;100,00;0;Cruise Ship Inspection Program 2015/2016 - February 2016
SEABOURN QUEST;11/2014;B;96,70;165;Cruise Ship Inspection Program 2014/2015 - November 2014
ZENITH;12/2011;C;91,81;415;Cruise Ship Inspection Program 2011/2012 - December 2011
HANSEATIC;04/2015;A;100,00;0;Cruise Ship Inspection Program 2014/2015 - April 2015
ROYAL PRINCESS;02/2019;A;100,00;0;Cruise Ship Inspection Program 2018/2019 - February 2019
COSTA FASCINOSA;03/2014;A;100,00;0;Cruise Ship Inspection Program 2013/2014 - March 2014
AMERA (PRINSENDAM);03/2020;B;94,30;285;Cruise Ship Inspection Program 2019/2020 -  March 2020
CRYSTAL SYMPHONY;12/2013;B;95,71;190;Cruise Ship Inspection Program 2013/2014 - December 2013
EMPRESS (IMPERATRIZ);11/2014;B;96,90;155;Cruise Ship Inspection Program 2014/2015 - November 2014
AMADEA;11/2012;B;92,40;231;Cruise Ship Inspection Program 2012/2013 - October 2012
ALBATROS;01/2018;A;100,00;0;Cruise Ship Inspection Program 2017/2018 -  January 2018
MSC ORCHESTRA;04/2011;A;96,57;105;Cruise Ship Inspection Program 2010/2011 - March 2011
SOVEREIGN (SOBERANO);11/2014;A;97,78;110;Cruise Ship Inspection Program 2014/2015 - November 2014
REGATTA;12/2015;A;100,00;0;Cruise Ship Inspection Program 2015/2016 - November 2015
GRAND HOLIDAY;03/2011;A;99,11;30;Cruise Ship Inspection Program 2010/2011 - March 2011
ZENITH;12/2010;D;80,42;645;Cruise Ship Inspection Program 2010/2011 - December 2010
COSTA FAVOLOSA;03/2013;A;98,31;85;Cruise Ship Inspection Program 2012/2013 - March 2013
VIKING SUN;01/2019;B;95,30;235;Cruise Ship Inspection Program 2018/2019 - January 2019
ARTANIA;01/2012;A;98,42;48;Cruise Ship Inspection Program 2011/2012 - January 2012
MSC ARMONIA;10/2010;B;91,36;290;Cruise Ship Inspection Program 2010/2011 - October 2010
